From https://github.com/ndaniels/MolSearch
   f6eecb0..192b19d  smsd       -> origin/smsd
Updating f6eecb0..192b19d
Fast-forward
 build/edu/mit/csail/fmcsj/AbstractMCS.class |  Bin 2082 -> 2082 bytes
 build/jar/Ammolite.jar                      |  Bin 126630 -> 126628 bytes
 src/edu/mit/csail/fmcsj/AbstractMCS.java    |    2 +-
 3 files changed, 1 insertion(+), 1 deletion(-)
[H[JScanning 30_random_molecules.sdf
Finished Scanning after 780 milliseconds
Finished closing files after 780 milliseconds
Decompressing 30.adb
29 clusters
Calculating pairwise distances for 29 clusters
Using 20 threads
Done calculating pairwise distances. Took 16850 milliseconds, 326888 in MCS
Time breakdown:
61 Time 32 Dist 0.15625
62 Time 51 Dist 0.18518518518518517
63 Time 25 Dist 0.23076923076923078
64 Time 4 Dist 0.23529411764705882
65 Time 27 Dist 0.7142857142857143
66 Time 113 Dist 0.375
67 Time 96 Dist 0.26666666666666666
68 Time 177 Dist 0.3333333333333333
69 Time 172 Dist 0.32142857142857145
70 Time 112 Dist 0.3333333333333333
71 Time 21 Dist 0.47058823529411764
72 Time 360 Dist 0.2571428571428571
73 Time 221 Dist 0.3
74 Time 213 Dist 0.25806451612903225
75 Time 81 Dist 0.47368421052631576
76 Time 2 Dist 0.46153846153846156
77 Time 5 Dist 0.35714285714285715
78 Time 47 Dist 0.47619047619047616
79 Time 68 Dist 0.3333333333333333
80 Time 73 Dist 0.36363636363636365
81 Time 46 Dist 0.2962962962962963
82 Time 36 Dist 0.3076923076923077
83 Time 18 Dist 0.4375
84 Time 33 Dist 0.3125
85 Time 30 Dist 0.37037037037037035
86 Time 35 Dist 0.37037037037037035
87 Time 22 Dist 0.3684210526315789
88 Time 24 Dist 0.4166666666666667
89 Time 26 Dist 0.4166666666666667
90 Time 37 Dist 0.5
7 clusters
